id,created_at,favorites,retweets,retweeted,source,text
836754740105064448,3/1,0,2286,FALSE,Twitter for iPhone,RT @VP: Karen and I on our way to hear @POTUS speak directly to America about his optimistic vision. WATCH: https://t.co/xkAkG9LbWa #JointA…
836757215763697664,3/1,10849,1552,FALSE,Twitter for iPhone,"#JointSession #MAGA
https://t.co/DcUUhLyFRU"
836760638416437248,3/1,22778,4574,FALSE,TweetDeck,We are a country that stands united in condemning hate and evil in all of its very ugly forms. #JointAddress
836760755001249792,3/1,22047,3930,FALSE,TweetDeck,"I am here tonight to deliver a message of unity and strength, and it is a message deeply delivered from my heart. #JointAddress"
836760865739325442,3/1,21264,3782,FALSE,TweetDeck,A surge of optimism is placing impossible dreams firmly within our grasp. What we are witnessing today is the Renewal of the #AmericanSpirit
836760999843758082,3/1,0,2298,FALSE,TweetDeck,RT @WhiteHouse: This is the #AmericanSpirit. #JointAddress https://t.co/OgllGrPTe9
836761614594555904,3/1,26326,5399,FALSE,TweetDeck,"America must put its own citizens first, because only then can we truly Make America Great Again! #JointAddress #AmericanSpirit"
836761877388603393,3/1,23079,3985,FALSE,TweetDeck,"Above all else, we will keep our promises to the American People. #JointAddress #AmericanSpirit"
836762913545334785,3/1,0,2562,FALSE,TweetDeck,RT @WhiteHouse: Fighting for American Workers #JointAddress #AmericanSpirit https://t.co/jwh7SgW7Og
836763116058918912,3/1,21376,3480,FALSE,TweetDeck,I have issued a new directive that American pipelines must be made with American steel. #JointAddress #AmericanSpirit
836763411027472384,3/1,27008,4664,FALSE,TweetDeck,"We will stop the drugs from pouring into our country &amp; poisoning our youth, and we will expand treatment for those who have become addicted."
836763740028678148,3/1,20812,3559,FALSE,TweetDeck,My Administration has answered the pleas of the American people for immigration enforcement and border security. #JointAddress
836763907566026752,3/1,24662,4552,FALSE,TweetDeck,"As we speak, we are removing gang members, drug dealers and criminals that threaten our communities and prey on our citizens. #JointAddress"
836764295513927680,3/1,26166,5750,FALSE,TweetDeck,"It is not compassionate, but reckless, to allow uncontrolled entry from places where proper vetting cannot occur. #JointAddress"
836765395608604674,3/1,21133,4395,FALSE,TweetDeck,"In the last 8 years, the past Administration has put on more new debt than nearly all other Presidents combined. #JointAddress"
836765563854651393,3/1,19822,3122,FALSE,TweetDeck,Solving these problems will require us to tap into the #AmericanSpirit that has overcome every challenge throughout our storied history.
836765640383922177,3/1,29047,4698,FALSE,TweetDeck,"We must restart the engine of the American economy, making it easier for companies to do business in the US &amp; much harder for them to leave!"
836765872991633408,3/1,27026,4442,FALSE,TweetDeck,My team is developing historic tax reform that will reduce the tax rate on our companies &amp; provide massive tax relief for the middle class.
836766505899544576,3/1,29232,4851,FALSE,TweetDeck,"I believe in free trade, but it also must be FAIR TRADE. I'm not going to let our great companies and workers be taken advantage of anymore!"
836767582208274432,3/1,29899,5285,FALSE,TweetDeck,"The time has come for a new program of national rebuilding that will be guided by two core principles: Buy American, and Hire American!"
836767771790819330,3/1,33566,5824,FALSE,TweetDeck,"I am calling on Congress to REPEAL &amp; REPLACE OBAMACARE with reforms that expand choice, increase access, lower costs &amp; provide better care."
836768336163799040,3/1,24668,4053,FALSE,TweetDeck,"Obamacare is collapsing – and we must act decisively to protect all Americans. Action is not a choice, it is a necessity. #JointAddress"
836768610014138368,3/1,26477,4114,FALSE,TweetDeck,We must ensure that Americans with pre-existing conditions have access to coverage. #JointAddress
836769181588676608,3/1,25743,4233,FALSE,TweetDeck,The time has come to give Americans the freedom to purchase health insurance across state lines! #JointAddress
836769839163277312,3/1,0,4027,FALSE,TweetDeck,"RT @WhiteHouse: ""Our citizens deserve this, and so much more - so why not join forces to finally get it done?"" #JointAddress https://t.co/r…"
836770458624208897,3/1,35132,6305,FALSE,TweetDeck,Education is the civil rights issue of our time. I am calling for an education bill that funds school choice for disadvantaged youth.
836770881179385859,3/1,41366,7303,FALSE,TweetDeck,"EVERY American child should be able to grow up in a safe community, to attend a great school, and to have access to a high-paying job."
836771138244083717,3/1,38257,7630,FALSE,TweetDeck,We must support the incredible men and women of law enforcement. #JointAddress #AmericanSpirit
836772084445507584,3/1,37847,7036,FALSE,TweetDeck,We must provide the men and women of the U.S. Military with the tools they need to prevent war and – if they must – TO FIGHT AND TO WIN.
836772393720897536,3/1,35457,6858,FALSE,TweetDeck,My budget will increase funding for our Veterans. Our Veterans have delivered for this nation. Now we MUST deliver for them. #JointAddress
836773012884049921,3/1,38885,7186,FALSE,TweetDeck,Ryan’s legacy is etched into eternity. #AmericanSpirit
836774309192478720,3/1,38985,7589,FALSE,TweetDeck,"We want harmony and stability, not war and conflict. We want peace, wherever peace can be found. #JointAddress #AmericanSpirit"
836774679562043392,3/1,36273,6482,FALSE,TweetDeck,Think of the marvels we can achieve if we simply set free the dreams of our people. #AmericanSpirit #JointAddress
836774995279892480,3/1,130328,39941,FALSE,TweetDeck,"We are one people, with one destiny.

We all bleed the same blood.

We all salute the same flag.

And we are all made by the same God."
836775337342160896,3/1,53804,11111,FALSE,TweetDeck,I am asking all citizens to embrace this Renewal of the #AmericanSpirit. #JointAddress
836780803245944833,3/1,54379,11786,FALSE,TweetDeck,A new chapter of American Greatness is now beginning. #AmericanSpirit
836965783775367172,3/1,39666,8194,FALSE,Twitter for iPhone,"THANK YOU!
https://t.co/3MKdgMsNIM"
836978465870086144,3/1,33529,6364,FALSE,TweetDeck,"Congratulations to our new Secretary of @Interior, Ryan Zinke! https://t.co/j4Tqcl5hmQ"
837007578055979012,3/1,0,5289,FALSE,Twitter for iPhone,RT @WhiteHouse: ICYMI: Watch @POTUS Trump's #JointAddress to Congress https://t.co/zT56mxV2St
837445213249470469,3/2,55176,11110,FALSE,Twitter Web Client,"Congratulations to our new Secretary of @HUDgov, Dr. Ben Carson! https://t.co/VhwZWxoxV3"
837445887580385280,3/2,42476,8022,FALSE,Twitter Web Client,"Congratulations to our new Secretary of @ENERGY, Rick Perry! https://t.co/gt7VWGrmu7"
837520606262349824,3/3,31825,5966,FALSE,Twitter for iPhone,Jeff Sessions is an honest man. He did not say anything wrong. He could have stated his....https://t.co/woEQgNejjK
837538265796235264,3/3,0,4303,FALSE,Twitter for iPhone,RT @USNavy: .@POTUS visits #USNavy's future  #USSGeraldRFord #CVN78 - https://t.co/E16tCVq3tK https://t.co/Qw26T5lexd
837683101266493440,3/3,0,2378,FALSE,Twitter Web Client,RT @WhiteHouse: Watch @POTUS Trump's Weekly Address today at 11:00am EST: https://t.co/vi7eJ7Wi3E https://t.co/KZFHqXkwME
837694901789818880,3/3,19662,4430,FALSE,TweetDeck,"Watch my Weekly Address: 

https://t.co/VqJZUBUJpr

Enjoy! https://t.co/6KA9Zr7IHs"
837770710655381504,3/3,45420,13774,FALSE,Twitter for iPhone,"I hereby demand a second investigation, after Schumer, of Pelosi for her close ties to Russia, and lying about it. https://t.co/ZLTxCuY9qU"
837788844573483008,3/3,54057,14866,FALSE,Twitter for iPhone,MAKE AMERICA GREAT AGAIN! https://t.co/O08AlsWQzu
837799383139770368,3/3,21329,3960,FALSE,Twitter for iPhone,#ICYMI- join me on the soon to be commissioned #USSGeraldRFord. You can watch here: https://t.co/MTMfLbed3q https://t.co/H64lSJ8Wuq
838897786892468225,3/6,32143,6770,FALSE,Twitter for iPhone,"There is an incredible spirit of optimism sweeping the country right now—we're bringing back the JOBS!
Watch:… https://t.co/srsZd8owBa"
838908081643859968,3/7,37025,10034,FALSE,Twitter for iPhone,"House just introduced the bill to #RepealAndReplace #Obamacare. Time to end this nightmare. 
https://t.co/z4A27JwaXX"
839099211266285568,3/7,33248,8444,FALSE,Twitter for iPhone,"122 vicious prisoners, released by the Obama Administration from Gitmo, have returned to the battlefield. Just another terrible decision!"
839099397900288002,3/7,25913,4606,FALSE,Twitter for iPhone,Our wonderful new Healthcare Bill is now out for review and negotiation. #ObamaCare is a complete and total disaster - is imploding fast!
839100602038763521,3/7,27927,6163,FALSE,Twitter for iPhone,"A new chapter of AMERICAN GREATNESS is now beginning. Together, we will MAKE AMERICA GREAT AGAIN!… https://t.co/NSbJ6N93GM"
839132604444131330,3/7,47020,9781,FALSE,Twitter for iPhone,"Don't let the FAKE NEWS tell you that there is big infighting in the Trump Admin. We are getting along great, and getting major things done!"
839210736450748417,3/7,34432,10230,FALSE,Twitter Web Client,#ConfirmGorsuch #SCOTUS https://t.co/cst1KtlUcY
839268685940461569,3/8,30176,5527,FALSE,Twitter for iPhone,I feel sure that my friend @RandPaul will come along with the new and great health care program because he knows Obamacare is a disaster!
839434246368477184,3/8,41020,7132,FALSE,Twitter for iPhone,I have tremendous respect for women and the many roles they serve that are vital to the fabric of our society and our economy.
839434396717432832,3/8,30841,6075,FALSE,Twitter for iPhone,"On International Women's Day, join me in honoring the critical role of women here in America &amp; around the world. https://t.co/eAbd9OiUl5"
839502021262725120,3/8,29119,7110,FALSE,Twitter for iPhone,U.S. private sector job creation surging with nearly 300K created last month. Much more than expected! https://t.co/XYf0Sc4eqG
839582076550672393,3/8,18893,3720,FALSE,Twitter for iPhone,"#RepealAndReplace #Obamacare
https://t.co/co5mMBv7Aa"
839625471071502336,3/8,18055,2518,FALSE,Twitter for iPhone,Met with @RepCummings today at the @WhiteHouse. Great discussion!
839625545948233730,3/8,30651,7506,FALSE,Twitter for iPhone,"Great news. We are only just beginning. Together, we are going to #MAGA! https://t.co/4QayxcKjoR https://t.co/fOuQkzzgRH"
839883896959483904,3/9,33467,5620,FALSE,Twitter for iPhone,"Despite what you hear in the press, healthcare is coming along great. We are talking to many groups and it will end in a beautiful picture!"
839901515712245760,3/9,18286,3538,FALSE,Twitter for iPhone,Great listening session with CEOs of community banks today at the @WhiteHouse! https://t.co/kQ8p2Y6nBV https://t.co/TyNGFWSpiM
839902400139919360,3/9,10827,1711,FALSE,Twitter for iPhone,Join @PressSec at https://t.co/9OsPtLVgfw for today's briefing!
839926426753183744,3/9,19917,3950,FALSE,Twitter for iPhone,Great legislative affairs meeting this afternoon at the @WhiteHouse. https://t.co/Pu3cx6Jj2E
839978944543752193,3/9,21195,3771,FALSE,Twitter for iPhone,Honored to meet this years @SenateYouth delegates w/ @VP Pence in the East Room of the @WhiteHouse. Congratulations… https://t.co/NuZIDEJlLm
840226451551051776,3/10,13755,2718,FALSE,Twitter for iPhone,"Weekly Address - 11:00 A.M. at the @WhiteHouse! #MAGA🇺🇸
➡️https://t.co/EMAjO07GuJ https://t.co/RjOook4k0I"
840268068853014528,3/10,10240,1643,FALSE,Twitter for iPhone,Join @PressSec live- coming up soon! https://t.co/EOpAFnlG7W
840269011770318848,3/10,15516,3116,FALSE,Twitter for iPhone,Great meeting w/ the healthcare specific House Committee Leadership this afternoon at the @WhiteHouse. #ReadTheBill… https://t.co/yDofamvQ8r
840270290483593217,3/10,30881,5769,FALSE,Twitter for iPhone,We are taking steps to stabilize health insurance markets and start bringing down costs for MILLIONS of people affected by #Obamacare.
840286677637746689,3/10,14055,3619,FALSE,Twitter for iPhone,"Three-Pronged Approach to REPEAL AND REPLACE #Obamacare! 
➡️https://t.co/XCYPOc0bzi https://t.co/vSLVJ6KXao"
840558072334548992,3/11,14458,3389,FALSE,Twitter for iPhone,#ReadTheBill: https://t.co/jb8Yoyftyz https://t.co/d9kVtHW1bk
840568025250189312,3/11,12630,2407,FALSE,Twitter for iPhone,"#ICYMI- Weekly Address:
https://t.co/EMAjO07GuJ https://t.co/ZqPAERhu8C"
840575046003367936,3/11,31826,5086,FALSE,Twitter for iPhone,We are making great progress with healthcare. ObamaCare is imploding and will only get worse. Republicans coming together to get job done!
840602660478820352,3/11,0,1803,FALSE,Twitter for iPhone,"RT @VP: LISTEN LIVE as I deliver remarks at @HarshawTrane in Louisville, KY. https://t.co/EEgtfnO4KB"
840674990781542400,3/11,0,4377,FALSE,Twitter for iPhone,RT @WhiteHouse: .@POTUS Trump's First 50 Days of Action: Achieving Results for the American People https://t.co/Xw15oqp712 https://t.co/HMD…
840675833937330177,3/11,31456,7777,FALSE,Twitter for iPhone,#MakeAmericaGreatAgain🇺🇸 https://t.co/hDtpbl4oA9
841280320322306049,3/13,37927,6820,FALSE,Twitter for iPhone,"It is amazing how rude much of the media is to my very hard working representatives. Be nice, you will do much better!"
841280466720309248,3/13,28500,5119,FALSE,Twitter for iPhone,"ObamaCare is imploding. It is a disaster and 2017 will be the worst year yet, by far! Republicans will come together and save the day."
841300388762509312,3/13,10980,2147,FALSE,Twitter Web Client,#RepealAndReplace #Obamacare https://t.co/RO5aXJLadw https://t.co/SLuVWiU1cN
841338416889491458,3/13,12460,2292,FALSE,Twitter for iPhone,Healthcare listening session w/ @VP &amp; @SecPriceMD. Watch: https://t.co/RO5aXJLadw #ReadTheBill:… https://t.co/MTwusn80GT
841342785684922369,3/13,23605,5652,FALSE,Twitter for iPhone,Everyone along the east coast be safe and listen to local officials as a major winter storm approaches. @NWS… https://t.co/2OUG6NMuSe
841364009110687746,3/13,0,2421,FALSE,Twitter for iPhone,"RT @SecPriceMD: States need flexibility to develop #healthcare models that meet the needs of their communities, that ↑ access ↑ affordabili…"
841391200322105344,3/13,23572,4860,FALSE,Twitter for iPhone,Proud to welcome our great Cabinet members to the @WhiteHouse this afternoon with @VP Pence. https://t.co/nwnSqk8wST
841403658491301893,3/13,23143,6731,FALSE,Twitter for iPhone,"If Obamacare is so great, why'd they spend tens of millions of taxpayer dollars to 'hype' it? BAD! #RepealAndReplace https://t.co/5mur5pIFQz"
841418162851700736,3/13,16343,2964,FALSE,Twitter for iPhone,"Meeting w/ Washington, D.C. @MayorBowser and Metro GM Paul Wiedefeld about incoming winter storm preparations here… https://t.co/NaadHfk7eB"
841419266561835009,3/13,0,2964,FALSE,Twitter for iPhone,"RT @POTUS: Meeting w/ Washington, D.C. @MayorBowser and Metro GM Paul Wiedefeld about incoming winter storm preparations here in D.C. Every…"
841424451648552961,3/13,13715,3863,FALSE,Twitter for iPhone,#Obamacare has led to📈costs &amp; fewer📉health insurance options for millions of Americans. How has it impacted you? ➡️… https://t.co/lphGtjak4Y
841666212190928901,3/14,31279,7880,FALSE,Twitter for iPhone,"JOBS, JOBS, JOBS! https://t.co/FUwemhEaDK"
841683471428964353,3/14,19375,3611,FALSE,Twitter for iPhone,Great optimism in America – and the results will be even better! https://t.co/TwsySB06ac
841749757726978050,3/14,18350,3648,FALSE,Twitter for iPhone,Congratulations Seema! https://t.co/abG2Wc5I0H
